LineID,VariableMap
0,PacketResponder <#4> for block <#2> terminating
1,PacketResponder <#4> for block <#2> terminating
2,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
3,PacketResponder <#4> for block <#2> terminating
4,PacketResponder <#4> for block <#2> terminating
5,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
6,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
7,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
8,PacketResponder <#4> for block <#2> terminating
9,Received block <#2> of size <#5> from <#9>
10,Received block <#2> of size <#5> from <#9>
11,Receiving block <#2> src: <#7> dest: <#8>
12,Receiving block <#2> src: <#7> dest: <#8>
13,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
14,Receiving block <#2> src: <#7> dest: <#8>
15,<#1> NameSystem.allocateBlock: <#12> <#3>
16,PacketResponder <#4> for block <#2> terminating
17,Received block <#2> of size <#5> from <#9>
18,<#1> NameSystem.allocateBlock: <#12> <#3>
19,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
20,Received block <#2> of size <#5> from <#9>
21,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
22,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
23,Received block <#2> of size <#5> from <#9>
24,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
25,Receiving block <#2> src: <#7> dest: <#8>
26,Received block <#2> of size <#5> from <#9>
27,<#1> NameSystem.allocateBlock: <#12> <#3>
28,Verification succeeded for <#3>
29,Received block <#2> of size <#5> from <#9>
30,Receiving block <#2> src: <#7> dest: <#8>
31,Received block <#2> of size <#5> from <#9>
32,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
33,Receiving block <#2> src: <#7> dest: <#8>
34,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
35,Received block <#2> of size <#5> from <#9>
36,Received block <#2> of size <#5> from <#9>
37,Received block <#2> of size <#5> from <#9>
38,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
39,Receiving block <#2> src: <#7> dest: <#8>
40,Received block <#2> of size <#5> from <#9>
41,Received block <#2> of size <#5> from <#9>
42,Receiving block <#2> src: <#7> dest: <#8>
43,Received block <#2> of size <#5> from <#9>
44,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
45,PacketResponder <#4> for block <#2> terminating
46,Received block <#2> of size <#5> from <#9>
47,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
48,PacketResponder <#4> for block <#2> terminating
49,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
50,Received block <#2> of size <#5> from <#9>
51,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
52,PacketResponder <#4> for block <#2> terminating
53,PacketResponder <#4> for block <#2> terminating
54,Received block <#2> of size <#5> from <#9>
55,PacketResponder <#4> for block <#2> terminating
56,Receiving block <#2> src: <#7> dest: <#8>
57,<#1> NameSystem.allocateBlock: <#12> <#3>
58,<#1> NameSystem.allocateBlock: <#12> <#3>
59,Received block <#2> of size <#5> from <#9>
60,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
61,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
62,Received block <#2> of size <#5> from <#9>
63,Received block <#2> of size <#5> from <#9>
64,Received block <#2> of size <#5> from <#9>
65,Received block <#2> of size <#5> from <#9>
66,Received block <#2> of size <#5> from <#9>
67,PacketResponder <#4> for block <#2> terminating
68,Received block <#2> of size <#5> from <#9>
69,Verification succeeded for <#3>
70,Receiving block <#2> src: <#7> dest: <#8>
71,PacketResponder <#4> for block <#2> terminating
72,Deleting block <#2> file <#11>
73,<#15> Served block <#2> to <#6>
74,<#15> Served block <#2> to <#6>
75,<#15> Served block <#2> to <#6>
76,<#15> Served block <#2> to <#6>
77,<#14> exception while serving <#3> to <#6>
78,<#14> exception while serving <#3> to <#6>
79,<#15> Served block <#2> to <#6>
80,<#14> exception while serving <#3> to <#6>
81,<#14> exception while serving <#3> to <#6>
82,<#15> Served block <#2> to <#6>
83,<#14> exception while serving <#3> to <#6>
84,<#14> exception while serving <#3> to <#6>
85,<#14> exception while serving <#3> to <#6>
86,<#15> Served block <#2> to <#6>
87,<#14> exception while serving <#3> to <#6>
88,<#14> exception while serving <#3> to <#6>
89,<#15> Served block <#2> to <#6>
90,<#14> exception while serving <#3> to <#6>
91,<#14> exception while serving <#3> to <#6>
92,<#14> exception while serving <#3> to <#6>
93,<#14> exception while serving <#3> to <#6>
94,<#14> exception while serving <#3> to <#6>
95,<#14> exception while serving <#3> to <#6>
96,<#15> Served block <#2> to <#6>
97,<#14> exception while serving <#3> to <#6>
98,<#14> exception while serving <#3> to <#6>
99,<#14> exception while serving <#3> to <#6>
100,<#14> exception while serving <#3> to <#6>
101,<#14> exception while serving <#3> to <#6>
102,<#14> exception while serving <#3> to <#6>
103,Received block <#2> of size <#5> from <#9>
104,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
105,Receiving block <#2> src: <#7> dest: <#8>
106,PacketResponder <#4> for block <#2> terminating
107,Received block <#2> of size <#5> from <#9>
108,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
109,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
110,Received block <#2> of size <#5> from <#9>
111,Receiving block <#2> src: <#7> dest: <#8>
112,PacketResponder <#4> for block <#2> terminating
113,Receiving block <#2> src: <#7> dest: <#8>
114,Receiving block <#2> src: <#7> dest: <#8>
115,Receiving block <#2> src: <#7> dest: <#8>
116,Receiving block <#2> src: <#7> dest: <#8>
117,Received block <#2> of size <#5> from <#9>
118,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
119,Receiving block <#2> src: <#7> dest: <#8>
120,<#1> NameSystem.allocateBlock: <#12> <#3>
121,PacketResponder <#4> for block <#2> terminating
122,Receiving block <#2> src: <#7> dest: <#8>
123,PacketResponder <#4> for block <#2> terminating
124,PacketResponder <#4> for block <#2> terminating
125,Receiving block <#2> src: <#7> dest: <#8>
126,PacketResponder <#4> for block <#2> terminating
127,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
128,Received block <#2> of size <#5> from <#9>
129,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
130,PacketResponder <#4> for block <#2> terminating
131,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
132,PacketResponder <#4> for block <#2> terminating
133,Receiving block <#2> src: <#7> dest: <#8>
134,Received block <#2> of size <#5> from <#9>
135,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
136,PacketResponder <#4> for block <#2> terminating
137,<#1> NameSystem.allocateBlock: <#12> <#3>
138,PacketResponder <#4> for block <#2> terminating
139,<#1> NameSystem.allocateBlock: <#12> <#3>
140,Receiving block <#2> src: <#7> dest: <#8>
141,PacketResponder <#4> for block <#2> terminating
142,Received block <#2> of size <#5> from <#9>
143,PacketResponder <#4> for block <#2> terminating
144,Receiving block <#2> src: <#7> dest: <#8>
145,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
146,Received block <#2> of size <#5> from <#9>
147,Receiving block <#2> src: <#7> dest: <#8>
148,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
149,Receiving block <#2> src: <#7> dest: <#8>
150,<#1> NameSystem.allocateBlock: <#12> <#3>
151,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
152,PacketResponder <#4> for block <#2> terminating
153,<#1> NameSystem.allocateBlock: <#12> <#3>
154,PacketResponder <#4> for block <#2> terminating
155,Receiving block <#2> src: <#7> dest: <#8>
156,PacketResponder <#4> for block <#2> terminating
157,Receiving block <#2> src: <#7> dest: <#8>
158,Received block <#2> of size <#5> from <#9>
159,Received block <#2> of size <#5> from <#9>
160,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
161,Receiving block <#2> src: <#7> dest: <#8>
162,PacketResponder <#4> for block <#2> terminating
163,PacketResponder <#4> for block <#2> terminating
164,Received block <#2> of size <#5> from <#9>
165,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
166,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
167,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
168,Receiving block <#2> src: <#7> dest: <#8>
169,PacketResponder <#4> for block <#2> terminating
170,PacketResponder <#4> for block <#2> terminating
171,Received block <#2> of size <#5> from <#9>
172,PacketResponder <#4> for block <#2> terminating
173,PacketResponder <#4> for block <#2> terminating
174,<#1> NameSystem.allocateBlock: <#12> <#3>
175,Verification succeeded for <#3>
176,Receiving block <#2> src: <#7> dest: <#8>
177,Receiving block <#2> src: <#7> dest: <#8>
178,Received block <#2> of size <#5> from <#9>
179,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
180,Received block <#2> of size <#5> from <#9>
181,Receiving block <#2> src: <#7> dest: <#8>
182,Received block <#2> of size <#5> from <#9>
183,Received block <#2> of size <#5> from <#9>
184,<#1> NameSystem.allocateBlock: <#12> <#3>
185,PacketResponder <#4> for block <#2> terminating
186,<#1> NameSystem.allocateBlock: <#12> <#3>
187,PacketResponder <#4> for block <#2> terminating
188,PacketResponder <#4> for block <#2> terminating
189,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
190,Received block <#2> of size <#5> from <#9>
191,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
192,PacketResponder <#4> for block <#2> terminating
193,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
194,Received block <#2> of size <#5> from <#9>
195,Received block <#2> of size <#5> from <#9>
196,Verification succeeded for <#3>
197,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
198,PacketResponder <#4> for block <#2> terminating
199,Receiving block <#2> src: <#7> dest: <#8>
200,<#1> NameSystem.allocateBlock: <#12> <#3>
201,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
202,<#1> NameSystem.addStoredBlock: blockMap updated: <#6> is added to <#3> size <#5>
203,<#1> NameSystem.allocateBlock: <#12> <#3>
204,PacketResponder <#4> for block <#2> terminating
205,Receiving block <#2> src: <#7> dest: <#8>
206,Received block <#2> of size <#5> from <#9>
207,Received block <#2> of size <#5> from <#9>
208,PacketResponder <#4> for block <#2> terminating
209,PacketResponder <#4> for block <#2> terminating
210,PacketResponder <#4> for block <#2> terminating
211,Received block <#2> of size <#5> from <#9>
212,Received block <#2> of size <#5> from <#9>
213,Receiving block <#2> src: <#7> dest: <#8>
214,PacketResponder <#4> for block <#2> terminating
215,PacketResponder <#4> for block <#2> terminating
216,PacketResponder <#4> for block <#2> terminating
217,Received block <#2> of size <#5> from <#9>
218,Received block <#2> of size <#5> from <#9>
219,<#1> NameSystem.allocateBlock: <#12> <#3>
220,PacketResponder <#4> for block <#2> terminating
