LineID,VariableMap
0,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
1,check pass; user unknown
2,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
3,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
4,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
5,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
6,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
7,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
8,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
9,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
10,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
11,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
12,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
13,session opened for user <#75> by <#76>
14,session closed for user <#75>
15,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
16,session opened for user <#75> by <#76>
17,session closed for user <#75>
18,check pass; user unknown
19,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
20,check pass; user unknown
21,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
22,check pass; user unknown
23,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
24,check pass; user unknown
25,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
26,check pass; user unknown
27,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
28,check pass; user unknown
29,check pass; user unknown
30,check pass; user unknown
31,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
32,check pass; user unknown
33,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
34,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
35,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
36,check pass; user unknown
37,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
38,check pass; user unknown
39,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
40,check pass; user unknown
41,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
42,check pass; user unknown
43,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
44,check pass; user unknown
45,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
46,check pass; user unknown
47,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
48,check pass; user unknown
49,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
50,check pass; user unknown
51,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
52,check pass; user unknown
53,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
54,check pass; user unknown
55,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
56,check pass; user unknown
57,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
58,check pass; user unknown
59,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
60,check pass; user unknown
61,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
62,check pass; user unknown
63,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
64,check pass; user unknown
65,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
66,check pass; user unknown
67,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
68,check pass; user unknown
69,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
70,check pass; user unknown
71,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
72,session opened for user <#75> by <#76>
73,session closed for user <#75>
74,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
75,session opened for user <#75> by <#76>
76,session closed for user <#75>
77,session opened for user <#75> by <#76>
78,session closed for user <#75>
79,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
80,session opened for user <#75> by <#76>
81,session closed for user <#75>
82,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
83,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
84,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
85,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
86,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
