LineID,VariableMap
0,reverse mapping checking getaddrinfo for <#14> <#15> failed - POSSIBLE BREAK-IN ATTEMPT!
1,Invalid user <#6> from <#7>
2,input_userauth_request: invalid user <#17> [preauth]
3,pam_unix(sshd:auth): check pass; user unknown
4,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
5,Failed password for invalid user webmaster from <#1> port <#2> <#3>
6,Connection closed by <#4> [preauth]
7,Connection closed by <#4> [preauth]
8,Invalid user <#6> from <#7>
9,input_userauth_request: invalid user <#17> [preauth]
10,pam_unix(sshd:auth): check pass; user unknown
11,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
12,Failed password for invalid user webmaster from <#1> port <#2> <#3>
13,Received disconnect from <#14> <#15> Bye Bye [preauth]
14,reverse mapping checking getaddrinfo for <#14> <#15> failed - POSSIBLE BREAK-IN ATTEMPT!
15,Invalid user <#6> from <#7>
16,input_userauth_request: invalid user <#17> [preauth]
17,pam_unix(sshd:auth): check pass; user unknown
18,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
19,Failed password for invalid user webmaster from <#1> port <#2> <#3>
20,Connection closed by <#4> [preauth]
21,Invalid user <#6> from <#7>
22,input_userauth_request: invalid user <#17> [preauth]
23,pam_unix(sshd:auth): check pass; user unknown
24,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
25,Failed password for invalid user webmaster from <#1> port <#2> <#3>
26,Received disconnect from <#14> <#15> Bye Bye [preauth]
27,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
28,Failed password for invalid user webmaster from <#1> port <#2> <#3>
29,message repeated <#16> times: [ Failed password for root from <#1> port <#2> <#3>
30,Disconnecting: Too many authentication failures for root [preauth]
31,PAM <#8> more authentication failures; logname= <#9> <#10> tty=ssh ruser= <#11> user=root
32,PAM service(sshd) ignoring max retries; <#12> > <#13>
33,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
34,Failed password for invalid user webmaster from <#1> port <#2> <#3>
35,Received disconnect from <#14> <#15> Bye Bye [preauth]
36,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
37,Failed password for invalid user webmaster from <#1> port <#2> <#3>
38,Received disconnect from <#14> <#15> Bye Bye [preauth]
39,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
40,Failed password for invalid user webmaster from <#1> port <#2> <#3>
41,Received disconnect from <#14> <#15> Bye Bye [preauth]
42,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
43,Failed password for invalid user webmaster from <#1> port <#2> <#3>
44,Received disconnect from <#14> <#15> Bye Bye [preauth]
45,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
46,Failed password for invalid user webmaster from <#1> port <#2> <#3>
47,Received disconnect from <#14> <#15> Bye Bye [preauth]
48,Invalid user <#6> from <#7>
49,input_userauth_request: invalid user <#17> [preauth]
50,pam_unix(sshd:auth): check pass; user unknown
51,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
52,Failed password for invalid user webmaster from <#1> port <#2> <#3>
53,Received disconnect from <#14> <#15> Bye Bye [preauth]
54,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
55,Failed password for invalid user webmaster from <#1> port <#2> <#3>
56,Received disconnect from <#14> <#15> Bye Bye [preauth]
57,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
58,Failed password for invalid user webmaster from <#1> port <#2> <#3>
59,Received disconnect from <#14> <#15> Bye Bye [preauth]
60,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
61,Failed password for invalid user webmaster from <#1> port <#2> <#3>
62,Received disconnect from <#14> <#15> Bye Bye [preauth]
63,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
64,Failed password for invalid user webmaster from <#1> port <#2> <#3>
65,Received disconnect from <#14> <#15> Bye Bye [preauth]
66,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
67,Failed password for invalid user webmaster from <#1> port <#2> <#3>
68,Received disconnect from <#14> <#15> Bye Bye [preauth]
69,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
70,Failed password for invalid user webmaster from <#1> port <#2> <#3>
71,Received disconnect from <#14> <#15> Bye Bye [preauth]
72,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
73,Failed password for invalid user webmaster from <#1> port <#2> <#3>
74,Received disconnect from <#14> <#15> Bye Bye [preauth]
75,pam_unix(sshd:auth): authentication failure; logname= <#9> <#10> tty=ssh ruser= <#11>
76,Failed password for invalid user webmaster from <#1> port <#2> <#3>
77,Received disconnect from <#14> <#15> Bye Bye [preauth]
